                                      artist_name                                      | album_count 
---------------------------------------------------------------------------------------+-------------
 Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett           |           0
 A Cor Do Som                                                                          |           0
 Aerosmith & Sierra Leone's Refugee Allstars                                           |           0
 Avril Lavigne                                                                         |           0
 Azymuth                                                                               |           0
 Baby Consuelo                                                                         |           0
 Banda Black Rio                                                                       |           0
 Barão Vermelho                                                                        |           0
 Bebel Gilberto                                                                        |           0
 Ben Harper                                                                            |           0
 Big & Rich                                                                            |           0
 Black Eyed Peas                                                                       |           0
 Charlie Brown Jr.                                                                     |           0
 Christina Aguilera featuring BigElf                                                   |           0
 Corinne Bailey Rae                                                                    |           0
 Dhani Harrison & Jakob Dylan                                                          |           0
 DJ Dolores & Orchestra Santa Massa                                                    |           0
 Edson, DJ Marky & DJ Patife Featuring Fernanda Porto                                  |           0
 Fernanda Porto                                                                        |           0
 Gustavo & Andres Veiga & Salazar                                                      |           0
 Hermeto Pascoal                                                                       |           0
 Instituto                                                                             |           0
 Jack Johnson                                                                          |           0
 Jack's Mannequin & Mick Fleetwood                                                     |           0
 Jackson Browne                                                                        |           0
 Jaguares                                                                              |           0
 João Gilberto                                                                         |           0
 Jorge Vercilo                                                                         |           0
 Kid Abelha                                                                            |           0
 Los Hermanos                                                                          |           0
 Los Lonely Boys                                                                       |           0
 Luiz Melodia                                                                          |           0
 Matisyahu                                                                             |           0
 Milton Nascimento & Bebeto                                                            |           0
 Motörhead & Girlschool                                                                |           0
 Mundo Livre S/A                                                                       |           0
 Nação Zumbi                                                                           |           0
 Nando Reis                                                                            |           0
 Nega Gizza                                                                            |           0
 Ney Matogrosso                                                                        |           0
 Os Cariocas                                                                           |           0
 Otto                                                                                  |           0
 Pedro Luís & A Parede                                                                 |           0
 Pedro Luís E A Parede                                                                 |           0
 Peter Tosh                                                                            |           0
 Regina Spektor                                                                        |           0
 R.E.M. Feat. KRS-One                                                                  |           0
 Rodox                                                                                 |           0
 Sabotage E Instituto                                                                  |           0
 Sandra De Sá                                                                          |           0
 Santana Feat. Dave Matthews                                                           |           0
 Santana Feat. Eagle-Eye Cherry                                                        |           0
 Santana Feat. Eric Clapton                                                            |           0
 Santana Feat. Everlast                                                                |           0
 Santana Feat. Lauryn Hill & Cee-Lo                                                    |           0
 Santana Feat. Maná                                                                    |           0
 Santana Feat. Rob Thomas                                                              |           0
 Santana Feat. The Project G&B                                                         |           0
 Seu Jorge                                                                             |           0
 Simply Red                                                                            |           0
 Snow Patrol                                                                           |           0
 Stereo Maracana                                                                       |           0
 The Flaming Lips                                                                      |           0
 The Postal Service                                                                    |           0
 Vinícius De Moraes & Baden Powell                                                     |           0
 Vinícius E Odette Lara                                                                |           0
 Vinícius E Qurteto Em Cy                                                              |           0
 Vinicius, Toquinho & Quarteto Em Cy                                                   |           0
 Whitesnake                                                                            |           0
 Xis                                                                                   |           0
 Youssou N'Dour                                                                        |           0
 Aaron Copland & London Symphony Orchestra                                             |           1
 Aaron Goldberg                                                                        |           1
 Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner           |           1
 Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair |           1
 Academy of St. Martin in the Fields & Sir Neville Marriner                            |           1
 Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart             |           1
 Adrian Leaper & Doreen de Feis                                                        |           1
 Aerosmith                                                                             |           1
 Aisha Duo                                                                             |           1
 Alanis Morissette                                                                     |           1
 Alberto Turco & Nova Schola Gregoriana                                                |           1
 Alice In Chains                                                                       |           1
 Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker                       |           1
 Antal Doráti & London Symphony Orchestra                                              |           1
 Apocalyptica                                                                          |           1
 Aquaman                                                                               |           1
 BackBeat                                                                              |           1
 Barry Wordsworth & BBC Concert Orchestra                                              |           1
 Battlestar Galactica (Classic)                                                        |           1
 Berliner Philharmoniker, Claudio Abbado & Sabine Meyer                                |           1
 Berliner Philharmoniker & Hans Rosbaud                                                |           1
